fen,move,move_san,move_number,to_move,evaluation,piece_count
k1r5/1p1b1p2/p1q1p3/3rP3/P1Q2P2/3P2P1/3B2KP/1R3R2 w - - 0 30,c4c6,Qxc6,59,white,2.0,20
k1r5/1p1b1p2/p1Q1p3/3rP3/P4P2/3P2P1/3B2KP/1R3R2 b - - 0 30,d7c6,Bxc6,60,black,11.0,19
k1r5/1p3p2/p1b1p3/3rP3/P4P2/3P2P1/3B2KP/1R3R2 w - - 0 31,g2f2,Kf2,61,white,2.0,18
k1r5/1p3p2/p1b1p3/3rP3/P4P2/3P2P1/3B1K1P/1R3R2 b - - 1 31,c6a4,Bxa4,62,black,2.0,18
k1r5/1p3p2/p3p3/3rP3/b4P2/3P2P1/3B1K1P/1R3R2 w - - 0 32,f1c1,Rfc1,63,white,1.0,17
k1r5/1p3p2/p3p3/3rP3/b4P2/3P2P1/3B1K1P/1RR5 b - - 1 32,c8h8,Rh8,64,black,1.0,17
k6r/1p3p2/p3p3/3rP3/b4P2/3P2P1/3B1K1P/1RR5 w - - 2 33,h2h4,h4,65,white,1.0,17
k6r/1p3p2/p3p3/3rP3/b4P1P/3P2P1/3B1K2/1RR5 b - - 0 33,d5d3,Rxd3,66,black,1.0,17
k6r/1p3p2/p3p3/4P3/b4P1P/3r2P1/3B1K2/1RR5 w - - 0 34,d2e3,Be3,67,white,0.0,16
k6r/1p3p2/p3p3/4P3/b4P1P/3rB1P1/5K2/1RR5 b - - 1 34,a4c6,Bc6,68,black,0.0,16
k6r/1p3p2/p1b1p3/4P3/5P1P/3rB1P1/5K2/1RR5 w - - 2 35,c1d1,Rd1,69,white,0.0,16
k6r/1p3p2/p1b1p3/4P3/5P1P/3rB1P1/5K2/1R1R4 b - - 3 35,d3c3,Rc3,70,black,0.0,16
k6r/1p3p2/p1b1p3/4P3/5P1P/2r1B1P1/5K2/1R1R4 w - - 4 36,b1c1,Rbc1,71,white,0.0,16
k6r/1p3p2/p1b1p3/4P3/5P1P/2r1B1P1/5K2/2RR4 b - - 5 36,c3b3,Rb3,72,black,0.0,16
k6r/1p3p2/p1b1p3/4P3/5P1P/1r2B1P1/5K2/2RR4 w - - 6 37,g3g4,g4,73,white,0.0,16
k6r/1p3p2/p1b1p3/4P3/5PPP/1r2B3/5K2/2RR4 b - - 0 37,h8g8,Rg8,74,black,0.0,16
k5r1/1p3p2/p1b1p3/4P3/5PPP/1r2B3/5K2/2RR4 w - - 1 38,d1d2,Rd2,75,white,0.0,16
k5r1/1p3p2/p1b1p3/4P3/5PPP/1r2B3/3R1K2/2R5 b - - 2 38,a8b8,Kb8,76,black,0.0,16
1k4r1/1p3p2/p1b1p3/4P3/5PPP/1r2B3/3R1K2/2R5 w - - 3 39,c1g1,Rg1,77,white,0.0,16
1k4r1/1p3p2/p1b1p3/4P3/5PPP/1r2B3/3R1K2/6R1 b - - 4 39,g8h8,Rh8,78,black,0.0,16
1k5r/1p3p2/p1b1p3/4P3/5PPP/1r2B3/3R1K2/6R1 w - - 5 40,h4h5,h5,79,white,0.0,16
1k5r/1p3p2/p1b1p3/4P2P/5PP1/1r2B3/3R1K2/6R1 b - - 0 40,a6a5,a5,80,black,0.0,16
1k5r/1p3p2/2b1p3/p3P2P/5PP1/1r2B3/3R1K2/6R1 w - - 0 41,g1g3,Rg3,81,white,0.0,16
1k5r/1p3p2/2b1p3/p3P2P/5PP1/1r2B1R1/3R1K2/8 b - - 1 41,b3b1,Rb1,82,black,0.0,16
1k5r/1p3p2/2b1p3/p3P2P/5PP1/4B1R1/3R1K2/1r6 w - - 2 42,g3h3,Rh3,83,white,0.0,16
1k5r/1p3p2/2b1p3/p3P2P/5PP1/4B2R/3R1K2/1r6 b - - 3 42,a5a4,a4,84,black,0.0,16
1k5r/1p3p2/2b1p3/4P2P/p4PP1/4B2R/3R1K2/1r6 w - - 0 43,f4f5,f5,85,white,0.0,16
1k5r/1p3p2/2b1p3/4PP1P/p5P1/4B2R/3R1K2/1r6 b - - 0 43,b1b4,Rb4,86,black,0.0,16
1k5r/1p3p2/2b1p3/4PP1P/pr4P1/4B2R/3R1K2/8 w - - 1 44,e3d4,Bd4,87,white,0.0,16
1k5r/1p3p2/2b1p3/4PP1P/pr1B2P1/7R/3R1K2/8 b - - 2 44,c6e4,Be4,88,black,0.0,16
1k5r/1p3p2/4p3/4PP1P/pr1Bb1P1/7R/3R1K2/8 w - - 3 45,f5e6,fxe6,89,white,0.0,16
1k5r/1p3p2/4P3/4P2P/pr1Bb1P1/7R/3R1K2/8 b - - 0 45,f7e6,fxe6,90,black,1.0,15
1k5r/1p6/4p3/4P2P/pr1Bb1P1/7R/3R1K2/8 w - - 0 46,f2g3,Kg3,91,white,0.0,14
1k5r/1p6/4p3/4P2P/pr1Bb1P1/6KR/3R4/8 b - - 1 46,a4a3,a3,92,black,0.0,14
1k5r/1p6/4p3/4P2P/1r1Bb1P1/p5KR/3R4/8 w - - 0 47,h3h2,Rhh2,93,white,0.0,14
1k5r/1p6/4p3/4P2P/1r1Bb1P1/p5K1/3R3R/8 b - - 1 47,e4d5,Bd5,94,black,0.0,14
1k5r/1p6/4p3/3bP2P/1r1B2P1/p5K1/3R3R/8 w - - 2 48,d4c5,Bc5,95,white,0.0,14
1k5r/1p6/4p3/2BbP2P/1r4P1/p5K1/3R3R/8 b - - 3 48,b4b3,Rb3+,96,black,0.0,14
1k5r/1p6/4p3/2BbP2P/6P1/pr4K1/3R3R/8 w - - 4 49,g3h4,Kh4,97,white,0.0,14
1k5r/1p6/4p3/2BbP2P/6PK/pr6/3R3R/8 b - - 5 49,b7b5,b5,98,black,0.0,14
1k5r/8/4p3/1pBbP2P/6PK/pr6/3R3R/8 w - - 0 50,g4g5,g5,99,white,0.0,14
1k5r/8/4p3/1pBbP1PP/7K/pr6/3R3R/8 b - - 0 50,d5e4,Be4,100,black,0.0,14
1k5r/8/4p3/1pB1P1PP/4b2K/pr6/3R3R/8 w - - 1 51,c5d6,Bd6+,101,white,0.0,14
