fen,move,move_san,move_number,to_move,evaluation,piece_count
r1bqr1k1/ppb2ppp/2p2nn1/3p4/3P4/1PNBPN1P/PBQ2PP1/R4RK1 w - - 3 13,b2a3,Ba3,25,white,0.0,30
r1bqr1k1/ppb2ppp/2p2nn1/3p4/3P4/BPNBPN1P/P1Q2PP1/R4RK1 b - - 4 13,c7d6,Bd6,26,black,0.0,30
r1bqr1k1/pp3ppp/2pb1nn1/3p4/3P4/BPNBPN1P/P1Q2PP1/R4RK1 w - - 5 14,a3d6,Bxd6,27,white,0.0,30
r1bqr1k1/pp3ppp/2pB1nn1/3p4/3P4/1PNBPN1P/P1Q2PP1/R4RK1 b - - 0 14,d8d6,Qxd6,28,black,3.3,29
r1b1r1k1/pp3ppp/2pq1nn1/3p4/3P4/1PNBPN1P/P1Q2PP1/R4RK1 w - - 0 15,f1b1,Rfb1,29,white,0.0,28
r1b1r1k1/pp3ppp/2pq1nn1/3p4/3P4/1PNBPN1P/P1Q2PP1/RR4K1 b - - 1 15,d6e7,Qe7,30,black,0.0,28
r1b1r1k1/pp2qppp/2p2nn1/3p4/3P4/1PNBPN1P/P1Q2PP1/RR4K1 w - - 2 16,b3b4,b4,31,white,0.0,28
r1b1r1k1/pp2qppp/2p2nn1/3p4/1P1P4/2NBPN1P/P1Q2PP1/RR4K1 b - - 0 16,f6e4,Ne4,32,black,0.0,28
r1b1r1k1/pp2qppp/2p3n1/3p4/1P1Pn3/2NBPN1P/P1Q2PP1/RR4K1 w - - 1 17,b4b5,b5,33,white,0.0,28
r1b1r1k1/pp2qppp/2p3n1/1P1p4/3Pn3/2NBPN1P/P1Q2PP1/RR4K1 b - - 0 17,f7f5,f5,34,black,0.0,28
r1b1r1k1/pp2q1pp/2p3n1/1P1p1p2/3Pn3/2NBPN1P/P1Q2PP1/RR4K1 w - - 0 18,b5c6,bxc6,35,white,0.0,28
r1b1r1k1/pp2q1pp/2P3n1/3p1p2/3Pn3/2NBPN1P/P1Q2PP1/RR4K1 b - - 0 18,b7c6,bxc6,36,black,1.0,27
r1b1r1k1/p3q1pp/2p3n1/3p1p2/3Pn3/2NBPN1P/P1Q2PP1/RR4K1 w - - 0 19,b1b2,Rb2,37,white,0.0,26
r1b1r1k1/p3q1pp/2p3n1/3p1p2/3Pn3/2NBPN1P/PRQ2PP1/R5K1 b - - 1 19,f5f4,f4,38,black,0.0,26
r1b1r1k1/p3q1pp/2p3n1/3p4/3Pnp2/2NBPN1P/PRQ2PP1/R5K1 w - - 0 20,c3e4,Nxe4,39,white,0.0,26
r1b1r1k1/p3q1pp/2p3n1/3p4/3PNp2/3BPN1P/PRQ2PP1/R5K1 b - - 0 20,d5e4,dxe4,40,black,3.2,25
r1b1r1k1/p3q1pp/2p3n1/8/3Ppp2/3BPN1P/PRQ2PP1/R5K1 w - - 0 21,c2c6,Qxc6,41,white,0.0,24
r1b1r1k1/p3q1pp/2Q3n1/8/3Ppp2/3BPN1P/PR3PP1/R5K1 b - - 0 21,e4d3,exd3,42,black,1.0,23
r1b1r1k1/p3q1pp/2Q3n1/8/3P1p2/3pPN1P/PR3PP1/R5K1 w - - 0 22,c6a8,Qxa8,43,white,-2.3,22
Q1b1r1k1/p3q1pp/6n1/8/3P1p2/3pPN1P/PR3PP1/R5K1 b - - 0 22,f4e3,fxe3,44,black,2.7,21
Q1b1r1k1/p3q1pp/6n1/8/3P4/3ppN1P/PR3PP1/R5K1 w - - 0 23,a8d5,Qd5+,45,white,1.7,20
2b1r1k1/p3q1pp/6n1/3Q4/3P4/3ppN1P/PR3PP1/R5K1 b - - 1 23,c8e6,Be6,46,black,1.7,20
4r1k1/p3q1pp/4b1n1/3Q4/3P4/3ppN1P/PR3PP1/R5K1 w - - 2 24,d5b5,Qb5,47,white,1.7,20
4r1k1/p3q1pp/4b1n1/1Q6/3P4/3ppN1P/PR3PP1/R5K1 b - - 3 24,e3f2,exf2+,48,black,1.7,20
4r1k1/p3q1pp/4b1n1/1Q6/3P4/3p1N1P/PR3pP1/R5K1 w - - 0 25,b2f2,Rxf2,49,white,0.7,19
4r1k1/p3q1pp/4b1n1/1Q6/3P4/3p1N1P/P4RP1/R5K1 b - - 0 25,g6f4,Nf4,50,black,1.7,18
4r1k1/p3q1pp/4b3/1Q6/3P1n2/3p1N1P/P4RP1/R5K1 w - - 1 26,a1e1,Re1,51,white,1.7,18
4r1k1/p3q1pp/4b3/1Q6/3P1n2/3p1N1P/P4RP1/4R1K1 b - - 2 26,f4e2,Ne2+,52,black,1.7,18
4r1k1/p3q1pp/4b3/1Q6/3P4/3p1N1P/P3nRP1/4R1K1 w - - 3 27,f2e2,Rfxe2,53,white,1.7,18
4r1k1/p3q1pp/4b3/1Q6/3P4/3p1N1P/P3R1P1/4R1K1 b - - 0 27,d3e2,dxe2,54,black,4.9,17
4r1k1/p3q1pp/4b3/1Q6/3P4/5N1P/P3p1P1/4R1K1 w - - 0 28,b5e2,Qxe2,55,white,-0.1,16
4r1k1/p3q1pp/4b3/8/3P4/5N1P/P3Q1P1/4R1K1 b - - 0 28,e7d7,Qd7,56,black,0.9,15
4r1k1/p2q2pp/4b3/8/3P4/5N1P/P3Q1P1/4R1K1 w - - 1 29,e1d1,Rd1,57,white,0.9,15
4r1k1/p2q2pp/4b3/8/3P4/5N1P/P3Q1P1/3R2K1 b - - 2 29,e6b3,Bb3,58,black,0.9,15
4r1k1/p2q2pp/8/8/3P4/1b3N1P/P3Q1P1/3R2K1 w - - 3 30,e2e8,Qxe8+,59,white,0.9,15
4Q1k1/p2q2pp/8/8/3P4/1b3N1P/P5P1/3R2K1 b - - 0 30,d7e8,Qxe8,60,black,5.9,14
4q1k1/p5pp/8/8/3P4/1b3N1P/P5P1/3R2K1 w - - 0 31,a2b3,axb3,61,white,-3.1,13
4q1k1/p5pp/8/8/3P4/1P3N1P/6P1/3R2K1 b - - 0 31,e8e3,Qe3+,62,black,0.2,12
6k1/p5pp/8/8/3P4/1P2qN1P/6P1/3R2K1 w - - 1 32,g1h1,Kh1,63,white,0.2,12
6k1/p5pp/8/8/3P4/1P2qN1P/6P1/3R3K b - - 2 32,e3b3,Qxb3,64,black,0.2,12
6k1/p5pp/8/8/3P4/1q3N1P/6P1/3R3K w - - 0 33,d1a1,Ra1,65,white,-0.8,11
6k1/p5pp/8/8/3P4/1q3N1P/6P1/R6K b - - 1 33,b3b7,Qb7,66,black,-0.8,11
6k1/pq4pp/8/8/3P4/5N1P/6P1/R6K w - - 2 34,d4d5,d5,67,white,-0.8,11
6k1/pq4pp/8/3P4/8/5N1P/6P1/R6K b - - 0 34,b7d5,Qxd5,68,black,-0.8,11
6k1/p5pp/8/3q4/8/5N1P/6P1/R6K w - - 0 35,a1a7,Rxa7,69,white,-1.8,10
r1bqkb1r/ppp2pp1/2n2p1p/3p4/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq - 1 6,f1d3,Bd3,11,white,-0.1,30
r1bqkb1r/ppp2pp1/2n2p1p/3p4/3P4/2NBP3/PPP2PPP/R2QK1NR b KQkq - 2 6,c6b4,Nb4,12,black,-0.1,30
r1bqkb1r/ppp2pp1/5p1p/3p4/1n1P4/2NBP3/PPP2PPP/R2QK1NR w KQkq - 3 7,d1f3,Qf3,13,white,-0.1,30
r1bqkb1r/ppp2pp1/5p1p/3p4/1n1P4/2NBPQ2/PPP2PPP/R3K1NR b KQkq - 4 7,b4d3,Nxd3+,14,black,-0.1,30
r1bqkb1r/ppp2pp1/5p1p/3p4/3P4/2NnPQ2/PPP2PPP/R3K1NR w KQkq - 0 8,c2d3,cxd3,15,white,-3.4,29
r1bqkb1r/ppp2pp1/5p1p/3p4/3P4/2NPPQ2/PP3PPP/R3K1NR b KQkq - 0 8,c7c6,c6,16,black,-0.2,28
r1bqkb1r/pp3pp1/2p2p1p/3p4/3P4/2NPPQ2/PP3PPP/R3K1NR w KQkq - 0 9,g1e2,Nge2,17,white,-0.2,28
r1bqkb1r/pp3pp1/2p2p1p/3p4/3P4/2NPPQ2/PP2NPPP/R3K2R b KQkq - 1 9,f8d6,Bd6,18,black,-0.2,28
r1bqk2r/pp3pp1/2pb1p1p/3p4/3P4/2NPPQ2/PP2NPPP/R3K2R w KQkq - 2 10,e1g1,O-O,19,white,-0.2,28
r1bqk2r/pp3pp1/2pb1p1p/3p4/3P4/2NPPQ2/PP2NPPP/R4RK1 b kq - 3 10,e8g8,O-O,20,black,-0.2,28
r1bq1rk1/pp3pp1/2pb1p1p/3p4/3P4/2NPPQ2/PP2NPPP/R4RK1 w - - 4 11,e3e4,e4,21,white,-0.2,28
r1bq1rk1/pp3pp1/2pb1p1p/3p4/3PP3/2NP1Q2/PP2NPPP/R4RK1 b - - 0 11,c8e6,Be6,22,black,-0.2,28
r2q1rk1/pp3pp1/2pbbp1p/3p4/3PP3/2NP1Q2/PP2NPPP/R4RK1 w - - 1 12,e2f4,Nf4,23,white,-0.2,28
r2q1rk1/pp3pp1/2pbbp1p/3p4/3PPN2/2NP1Q2/PP3PPP/R4RK1 b - - 2 12,d6f4,Bxf4,24,black,-0.2,28
r2q1rk1/pp3pp1/2p1bp1p/3p4/3PPb2/2NP1Q2/PP3PPP/R4RK1 w - - 0 13,f3f4,Qxf4,25,white,-3.4,27
r2q1rk1/pp3pp1/2p1bp1p/3p4/3PPQ2/2NP4/PP3PPP/R4RK1 b - - 0 13,d5e4,dxe4,26,black,-0.1,26
r2q1rk1/pp3pp1/2p1bp1p/8/3PpQ2/2NP4/PP3PPP/R4RK1 w - - 0 14,f4e4,Qxe4,27,white,-1.1,25
r2q1rk1/pp3pp1/2p1bp1p/8/3PQ3/2NP4/PP3PPP/R4RK1 b - - 0 14,f8e8,Re8,28,black,-0.1,24
r2qr1k1/pp3pp1/2p1bp1p/8/3PQ3/2NP4/PP3PPP/R4RK1 w - - 1 15,f1e1,Rfe1,29,white,-0.1,24
r2qr1k1/pp3pp1/2p1bp1p/8/3PQ3/2NP4/PP3PPP/R3R1K1 b - - 2 15,d8b6,Qb6,30,black,-0.1,24
r3r1k1/pp3pp1/1qp1bp1p/8/3PQ3/2NP4/PP3PPP/R3R1K1 w - - 3 16,c3a4,Na4,31,white,-0.1,24
r3r1k1/pp3pp1/1qp1bp1p/8/N2PQ3/3P4/PP3PPP/R3R1K1 b - - 4 16,b6b5,Qb5,32,black,-0.1,24
r3r1k1/pp3pp1/2p1bp1p/1q6/N2PQ3/3P4/PP3PPP/R3R1K1 w - - 5 17,b2b3,b3,33,white,-0.1,24
r3r1k1/pp3pp1/2p1bp1p/1q6/N2PQ3/1P1P4/P4PPP/R3R1K1 b - - 0 17,b5a5,Qa5,34,black,-0.1,24
r3r1k1/pp3pp1/2p1bp1p/q7/N2PQ3/1P1P4/P4PPP/R3R1K1 w - - 1 18,a4c5,Nc5,35,white,-0.1,24
r3r1k1/pp3pp1/2p1bp1p/q1N5/3PQ3/1P1P4/P4PPP/R3R1K1 b - - 2 18,e6d7,Bd7,36,black,-0.1,24
r3r1k1/pp1b1pp1/2p2p1p/q1N5/3PQ3/1P1P4/P4PPP/R3R1K1 w - - 3 19,c5d7,Nxd7,37,white,-0.1,24
r3r1k1/pp1N1pp1/2p2p1p/q7/3PQ3/1P1P4/P4PPP/R3R1K1 b - - 0 19,e8e4,Rxe4,38,black,3.2,23
r5k1/pp1N1pp1/2p2p1p/q7/3Pr3/1P1P4/P4PPP/R3R1K1 w - - 0 20,e1e4,Rxe4,39,white,-5.8,22
r5k1/pp1N1pp1/2p2p1p/q7/3PR3/1P1P4/P4PPP/R5K1 b - - 0 20,a8d8,Rd8,40,black,-0.8,21
3r2k1/pp1N1pp1/2p2p1p/q7/3PR3/1P1P4/P4PPP/R5K1 w - - 1 21,d7c5,Nc5,41,white,-0.8,21
3r2k1/pp3pp1/2p2p1p/q1N5/3PR3/1P1P4/P4PPP/R5K1 b - - 2 21,b7b6,b6,42,black,-0.8,21
3r2k1/p4pp1/1pp2p1p/q1N5/3PR3/1P1P4/P4PPP/R5K1 w - - 0 22,c5b7,Nb7,43,white,-0.8,21
3r2k1/pN3pp1/1pp2p1p/q7/3PR3/1P1P4/P4PPP/R5K1 b - - 1 22,a5c3,Qc3,44,black,-0.8,21
3r2k1/pN3pp1/1pp2p1p/8/3PR3/1PqP4/P4PPP/R5K1 w - - 2 23,a1e1,Rae1,45,white,-0.8,21
3r2k1/pN3pp1/1pp2p1p/8/3PR3/1PqP4/P4PPP/4R1K1 b - - 3 23,d8d7,Rd7,46,black,-0.8,21
6k1/pN1r1pp1/1pp2p1p/8/3PR3/1PqP4/P4PPP/4R1K1 w - - 4 24,e4e8,Re8+,47,white,-0.8,21
4R1k1/pN1r1pp1/1pp2p1p/8/3P4/1PqP4/P4PPP/4R1K1 b - - 5 24,g8h7,Kh7,48,black,-0.8,21
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,f1d3,Bd3,11,white,0.0,30
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 6,f8e7,Be7,12,black,0.0,30
rnbqk2r/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 2 7,e1g1,O-O,13,white,0.0,30
rnbqk2r/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQ1RK1 b kq - 3 7,e8g8,O-O,14,black,0.0,30
rnbq1rk1/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQ1RK1 w - - 4 8,c2c4,c4,15,white,0.0,30
rnbq1rk1/ppp1bppp/8/3p4/2PPn3/3B1N2/PP3PPP/RNBQ1RK1 b - - 0 8,c7c6,c6,16,black,0.0,30
rnbq1rk1/pp2bppp/2p5/3p4/2PPn3/3B1N2/PP3PPP/RNBQ1RK1 w - - 0 9,b1c3,Nc3,17,white,0.0,30
rnbq1rk1/pp2bppp/2p5/3p4/2PPn3/2NB1N2/PP3PPP/R1BQ1RK1 b - - 1 9,e4c3,Nxc3,18,black,0.0,30
rnbq1rk1/pp2bppp/2p5/3p4/2PP4/2nB1N2/PP3PPP/R1BQ1RK1 w - - 0 10,b2c3,bxc3,19,white,-3.2,29
rnbq1rk1/pp2bppp/2p5/3p4/2PP4/2PB1N2/P4PPP/R1BQ1RK1 b - - 0 10,c8g4,Bg4,20,black,0.0,28
rn1q1rk1/pp2bppp/2p5/3p4/2PP2b1/2PB1N2/P4PPP/R1BQ1RK1 w - - 1 11,a1b1,Rb1,21,white,0.0,28
rn1q1rk1/pp2bppp/2p5/3p4/2PP2b1/2PB1N2/P4PPP/1RBQ1RK1 b - - 2 11,d5c4,dxc4,22,black,0.0,28
rn1q1rk1/pp2bppp/2p5/8/2pP2b1/2PB1N2/P4PPP/1RBQ1RK1 w - - 0 12,d3c4,Bxc4,23,white,-1.0,27
rn1q1rk1/pp2bppp/2p5/8/2BP2b1/2P2N2/P4PPP/1RBQ1RK1 b - - 0 12,b8d7,Nd7,24,black,0.0,26
r2q1rk1/pp1nbppp/2p5/8/2BP2b1/2P2N2/P4PPP/1RBQ1RK1 w - - 1 13,b1b7,Rxb7,25,white,0.0,26
r2q1rk1/pR1nbppp/2p5/8/2BP2b1/2P2N2/P4PPP/2BQ1RK1 b - - 0 13,d7b6,Nb6,26,black,1.0,25
r2q1rk1/pR2bppp/1np5/8/2BP2b1/2P2N2/P4PPP/2BQ1RK1 w - - 1 14,c4d3,Bd3,27,white,1.0,25
r2q1rk1/pR2bppp/1np5/8/3P2b1/2PB1N2/P4PPP/2BQ1RK1 b - - 2 14,g4c8,Bc8,28,black,1.0,25
r1bq1rk1/pR2bppp/1np5/8/3P4/2PB1N2/P4PPP/2BQ1RK1 w - - 3 15,b7e7,Rxe7,29,white,1.0,25
r1bq1rk1/p3Rppp/1np5/8/3P4/2PB1N2/P4PPP/2BQ1RK1 b - - 0 15,d8e7,Qxe7,30,black,4.3,24
r1b2rk1/p3qppp/1np5/8/3P4/2PB1N2/P4PPP/2BQ1RK1 w - - 0 16,f1e1,Re1,31,white,-0.7,23
r1b2rk1/p3qppp/1np5/8/3P4/2PB1N2/P4PPP/2BQR1K1 b - - 1 16,e7d8,Qd8,32,black,-0.7,23
r1bq1rk1/p4ppp/1np5/8/3P4/2PB1N2/P4PPP/2BQR1K1 w - - 2 17,f3g5,Ng5,33,white,-0.7,23
r1bq1rk1/p4ppp/1np5/6N1/3P4/2PB4/P4PPP/2BQR1K1 b - - 3 17,h7h6,h6,34,black,-0.7,23
r1bq1rk1/p4pp1/1np4p/6N1/3P4/2PB4/P4PPP/2BQR1K1 w - - 0 18,d1h5,Qh5,35,white,-0.7,23
r1bq1rk1/p4pp1/1np4p/6NQ/3P4/2PB4/P4PPP/2B1R1K1 b - - 1 18,b6d5,Nd5,36,black,-0.7,23
r1bq1rk1/p4pp1/2p4p/3n2NQ/3P4/2PB4/P4PPP/2B1R1K1 w - - 2 19,g5e4,Ne4,37,white,-0.7,23
r1bq1rk1/p4pp1/2p4p/3n3Q/3PN3/2PB4/P4PPP/2B1R1K1 b - - 3 19,f7f5,f5,38,black,-0.7,23
r1bq1rk1/p5p1/2p4p/3n1p1Q/3PN3/2PB4/P4PPP/2B1R1K1 w - - 0 20,e4g3,Ng3,39,white,-0.7,23
r1bq1rk1/p5p1/2p4p/3n1p1Q/3P4/2PB2N1/P4PPP/2B1R1K1 b - - 1 20,d5f6,Nf6,40,black,-0.7,23
r1bq1rk1/p5p1/2p2n1p/5p1Q/3P4/2PB2N1/P4PPP/2B1R1K1 w - - 2 21,h5g6,Qg6,41,white,-0.7,23
r1bq1rk1/p5p1/2p2nQp/5p2/3P4/2PB2N1/P4PPP/2B1R1K1 b - - 3 21,f8e8,Re8,42,black,-0.7,23
r1bqr1k1/p5p1/2p2nQp/5p2/3P4/2PB2N1/P4PPP/2B1R1K1 w - - 4 22,e1e5,Re5,43,white,-0.7,23
r1bqr1k1/p5p1/2p2nQp/4Rp2/3P4/2PB2N1/P4PPP/2B3K1 b - - 5 22,e8e5,Rxe5,44,black,-0.7,23
r1bq2k1/p5p1/2p2nQp/4rp2/3P4/2PB2N1/P4PPP/2B3K1 w - - 0 23,d4e5,dxe5,45,white,-5.7,22
r1bq2k1/p5p1/2p2nQp/4Pp2/8/2PB2N1/P4PPP/2B3K1 b - - 0 23,d8e8,Qe8,46,black,-0.7,21
r1b1q1k1/p5p1/2p2nQp/4Pp2/8/2PB2N1/P4PPP/2B3K1 w - - 1 24,g6e8,Qxe8+,47,white,-0.7,21
r1b1Q1k1/p5p1/2p2n1p/4Pp2/8/2PB2N1/P4PPP/2B3K1 b - - 0 24,f6e8,Nxe8,48,black,8.3,20
r1b1n1k1/p5p1/2p4p/4Pp2/8/2PB2N1/P4PPP/2B3K1 w - - 0 25,g3f5,Nxf5,49,white,-0.7,19
r1b1n1k1/p5p1/2p4p/4PN2/8/2PB4/P4PPP/2B3K1 b - - 0 25,c8f5,Bxf5,50,black,0.3,18
r3n1k1/p5p1/2p4p/4Pb2/8/2PB4/P4PPP/2B3K1 w - - 0 26,d3f5,Bxf5,51,white,-2.9,17
r3n1k1/p5p1/2p4p/4PB2/8/2P5/P4PPP/2B3K1 b - - 0 26,a8d8,Rd8,52,black,0.4,16
3rn1k1/p5p1/2p4p/4PB2/8/2P5/P4PPP/2B3K1 w - - 1 27,f5c2,Bc2,53,white,0.4,16
3rn1k1/p5p1/2p4p/4P3/8/2P5/P1B2PPP/2B3K1 b - - 2 27,e8c7,Nc7,54,black,0.4,16
3r2k1/p1n3p1/2p4p/4P3/8/2P5/P1B2PPP/2B3K1 w - - 3 28,f2f4,f4,55,white,0.4,16
3r2k1/p1n3p1/2p4p/4P3/5P2/2P5/P1B3PP/2B3K1 b - - 0 28,c7d5,Nd5,56,black,0.4,16
3r2k1/p5p1/2p4p/3nP3/5P2/2P5/P1B3PP/2B3K1 w - - 1 29,c3c4,c4,57,white,0.4,16
3r2k1/p5p1/2p4p/3nP3/2P2P2/8/P1B3PP/2B3K1 b - - 0 29,d5c3,Nc3,58,black,0.4,16
3r2k1/p5p1/2p4p/4P3/2P2P2/2n5/P1B3PP/2B3K1 w - - 1 30,c1a3,Ba3,59,white,0.4,16
3r2k1/p5p1/2p4p/4P3/2P2P2/B1n5/P1B3PP/6K1 b - - 2 30,d8d2,Rd2,60,black,0.4,16
6k1/p5p1/2p4p/4P3/2P2P2/B1n5/P1Br2PP/6K1 w - - 3 31,c2b3,Bb3,61,white,0.4,16
6k1/p5p1/2p4p/4P3/2P2P2/BBn5/P2r2PP/6K1 b - - 4 31,c3a2,Nxa2,62,black,0.4,16
6k1/p5p1/2p4p/4P3/2P2P2/BB6/n2r2PP/6K1 w - - 0 32,e5e6,e6,63,white,-0.6,15
6k1/p5p1/2p1P2p/8/2P2P2/BB6/n2r2PP/6K1 b - - 0 32,d2d3,Rd3,64,black,-0.6,15
6k1/p5p1/2p1P2p/8/2P2P2/BB1r4/n5PP/6K1 w - - 1 33,e6e7,e7,65,white,-0.6,15
6k1/p3P1p1/2p4p/8/2P2P2/BB1r4/n5PP/6K1 b - - 0 33,g8f7,Kf7,66,black,-0.6,15
r2qk1nr/ppp1ppbp/2np2p1/8/3PP1b1/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 6 6,d1d2,Qd2,11,white,0.0,32
r2qk1nr/ppp1ppbp/2np2p1/8/3PP1b1/2N1BN2/PPPQ1PPP/R3KB1R b KQkq - 7 6,g4f3,Bxf3,12,black,0.0,32
r2qk1nr/ppp1ppbp/2np2p1/8/3PP3/2N1Bb2/PPPQ1PPP/R3KB1R w KQkq - 0 7,g2f3,gxf3,13,white,-3.2,31
r2qk1nr/ppp1ppbp/2np2p1/8/3PP3/2N1BP2/PPPQ1P1P/R3KB1R b KQkq - 0 7,e7e5,e5,14,black,0.1,30
r2qk1nr/ppp2pbp/2np2p1/4p3/3PP3/2N1BP2/PPPQ1P1P/R3KB1R w KQkq - 0 8,d4e5,dxe5,15,white,0.1,30
r2qk1nr/ppp2pbp/2np2p1/4P3/4P3/2N1BP2/PPPQ1P1P/R3KB1R b KQkq - 0 8,c6e5,Nxe5,16,black,1.1,29
r2qk1nr/ppp2pbp/3p2p1/4n3/4P3/2N1BP2/PPPQ1P1P/R3KB1R w KQkq - 0 9,f1b5,Bb5+,17,white,0.1,28
r2qk1nr/ppp2pbp/3p2p1/1B2n3/4P3/2N1BP2/PPPQ1P1P/R3K2R b KQkq - 1 9,e5c6,Nc6,18,black,0.1,28
r2qk1nr/ppp2pbp/2np2p1/1B6/4P3/2N1BP2/PPPQ1P1P/R3K2R w KQkq - 2 10,e1c1,O-O-O,19,white,0.1,28
r2qk1nr/ppp2pbp/2np2p1/1B6/4P3/2N1BP2/PPPQ1P1P/2KR3R b kq - 3 10,g8e7,Ne7,20,black,0.1,28
r2qk2r/ppp1npbp/2np2p1/1B6/4P3/2N1BP2/PPPQ1P1P/2KR3R w kq - 4 11,e3d4,Bd4,21,white,0.1,28
r2qk2r/ppp1npbp/2np2p1/1B6/3BP3/2N2P2/PPPQ1P1P/2KR3R b kq - 5 11,f7f6,f6,22,black,0.1,28
r2qk2r/ppp1n1bp/2np1pp1/1B6/3BP3/2N2P2/PPPQ1P1P/2KR3R w kq - 0 12,c3d5,Nd5,23,white,0.1,28
r2qk2r/ppp1n1bp/2np1pp1/1B1N4/3BP3/5P2/PPPQ1P1P/2KR3R b kq - 1 12,h8f8,Rf8,24,black,0.1,28
r2qkr2/ppp1n1bp/2np1pp1/1B1N4/3BP3/5P2/PPPQ1P1P/2KR3R w q - 2 13,d2c3,Qc3,25,white,0.1,28
r2qkr2/ppp1n1bp/2np1pp1/1B1N4/3BP3/2Q2P2/PPP2P1P/2KR3R b q - 3 13,d8d7,Qd7,26,black,0.1,28
r3kr2/pppqn1bp/2np1pp1/1B1N4/3BP3/2Q2P2/PPP2P1P/2KR3R w q - 4 14,d4f6,Bxf6,27,white,0.1,28
r3kr2/pppqn1bp/2np1Bp1/1B1N4/4P3/2Q2P2/PPP2P1P/2KR3R b q - 0 14,g7h6,Bh6+,28,black,1.1,27
r3kr2/pppqn2p/2np1Bpb/1B1N4/4P3/2Q2P2/PPP2P1P/2KR3R w q - 1 15,c1b1,Kb1,29,white,1.1,27
r3kr2/pppqn2p/2np1Bpb/1B1N4/4P3/2Q2P2/PPP2P1P/1K1R3R b q - 2 15,a7a6,a6,30,black,1.1,27
r3kr2/1ppqn2p/p1np1Bpb/1B1N4/4P3/2Q2P2/PPP2P1P/1K1R3R w q - 0 16,f6e7,Bxe7,31,white,1.1,27
r3kr2/1ppqB2p/p1np2pb/1B1N4/4P3/2Q2P2/PPP2P1P/1K1R3R b q - 0 16,f8f7,Rf7,32,black,4.3,26
r3k3/1ppqBr1p/p1np2pb/1B1N4/4P3/2Q2P2/PPP2P1P/1K1R3R w q - 1 17,c3h8,Qh8+,33,white,4.3,26
r3k2Q/1ppqBr1p/p1np2pb/1B1N4/4P3/5P2/PPP2P1P/1K1R3R b q - 2 17,h6f8,Bf8,34,black,4.3,26
r3kb1Q/1ppqBr1p/p1np2p1/1B1N4/4P3/5P2/PPP2P1P/1K1R3R w q - 3 18,e4e5,e5,35,white,4.3,26
r3kb1Q/1ppqBr1p/p1np2p1/1B1NP3/8/5P2/PPP2P1P/1K1R3R b q - 0 18,a6b5,axb5,36,black,4.3,26
r3kb1Q/1ppqBr1p/2np2p1/1p1NP3/8/5P2/PPP2P1P/1K1R3R w q - 0 19,e5d6,exd6,37,white,1.0,25
r3kb1Q/1ppqBr1p/2nP2p1/1p1N4/8/5P2/PPP2P1P/1K1R3R b q - 0 19,c7d6,cxd6,38,black,2.0,24
r3kb1Q/1p1qBr1p/2np2p1/1p1N4/8/5P2/PPP2P1P/1K1R3R w q - 0 20,e7f8,Bxf8,39,white,1.0,23
r3kB1Q/1p1q1r1p/2np2p1/1p1N4/8/5P2/PPP2P1P/1K1R3R b q - 0 20,e8d8,Kd8,40,black,4.3,22
r2k1B1Q/1p1q1r1p/2np2p1/1p1N4/8/5P2/PPP2P1P/1K1R3R w - - 1 21,f8e7,Be7#,41,white,4.3,22
rnbqkb1r/ppp1pp1p/6p1/8/3PP3/2n5/PP3PPP/R1BQKBNR w KQkq - 0 6,b2c3,bxc3,11,white,-3.2,29
rnbqkb1r/ppp1pp1p/6p1/8/3PP3/2P5/P4PPP/R1BQKBNR b KQkq - 0 6,f8g7,Bg7,12,black,0.0,28
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P5/P4PPP/R1BQKBNR w KQkq - 1 7,c1e3,Be3,13,white,0.0,28
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P1B3/P4PPP/R2QKBNR b KQkq - 2 7,e8g8,O-O,14,black,0.0,28
rnbq1rk1/ppp1ppbp/6p1/8/3PP3/2P1B3/P4PPP/R2QKBNR w KQ - 3 8,g1f3,Nf3,15,white,0.0,28
rnbq1rk1/ppp1ppbp/6p1/8/3PP3/2P1BN2/P4PPP/R2QKB1R b KQ - 4 8,b7b6,b6,16,black,0.0,28
rnbq1rk1/p1p1ppbp/1p4p1/8/3PP3/2P1BN2/P4PPP/R2QKB1R w KQ - 0 9,f1d3,Bd3,17,white,0.0,28
rnbq1rk1/p1p1ppbp/1p4p1/8/3PP3/2PBBN2/P4PPP/R2QK2R b KQ - 1 9,c7c5,c5,18,black,0.0,28
rnbq1rk1/p3ppbp/1p4p1/2p5/3PP3/2PBBN2/P4PPP/R2QK2R w KQ - 0 10,e1g1,O-O,19,white,0.0,28
rnbq1rk1/p3ppbp/1p4p1/2p5/3PP3/2PBBN2/P4PPP/R2Q1RK1 b - - 1 10,c8g4,Bg4,20,black,0.0,28
